ID,Num,USO,Num USO,NSE U/S,A,B,C,D,E,C1,C2,C3,IL,IM,IP,QTY servicios,VOZ,Datos s/dom,Datos,Datos-fibra-telmex-inf,TV Cable,DISH,TVS,SKY,VETV
2092,311,,,V,,,,1,,,,,,,,1,,,,,1,,,,
2093,310-A,,,V,,,,1,,,,,,,,1,,,,,1,,,,
2094,310,,,V,,,,1,,,,,,,,1,,,,,1,,,,
2095,311,,,V,,,,,1,,,,,,,0,,,,,,,,,
2096,316-A,,,V,,,,1,,,,,,,,1,,,,,1,,,,
2097,316,,,V,,,,1,,,,,,,,0,,,,,,,,,
2098,315,,,V,,,1,,,,,,,,,0,,,,,,,,,
2099,312,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2100,312,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2101,23,,,V,,,,1,,,,,,,,0,,,,,,,,,
2102,322,,,V,,,,,1,,,,,,,0,,,,,,,,,
2103,324,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2104,321,,,V,,,,,1,,,,,,,0,,,,,,,,,
2105,318-B,,,V,,,,1,,,,,,,,0,,,,,,,,,
2106,318,BALDIO,2,,,,,,,,,,,,,0,,,,,,,,,
2107,315,,,V,,,,1,,,,,,,,1,,,,,1,,,,
2108,313,COMERCIAL,4,V,,,,1,,,,1,,,,0,,,,,,,,,
2109,314,,,V,,,,,1,,,,,,,0,,,,,,,,,
2110,317,,,V,,,,,1,,,,,,,0,,,,,,,,,
2111,315-A,,,V,,,,,1,,,,,,,1,,,,,,,1,,
2112,313,,,V,,,,,1,,,,,,,0,,,,,,,,,
2113,319,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2114,C,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2115,B,,,V,,,,,2,,,,,,,1,,,,,1,,,,
2116,A,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2117,316,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2118,321,,,V,,,,,1,,,,,,,0,,,,,,,,,
2119,314,,,V,,,,,5,,,,,,,0,,,,,,,,,
