ID,Num,USO,Num USO,NSE U/S,Updated Manual,A,B,C,D,E,C1,C2,C3,IL,IM,IP,QTY servicios,VOZ,Datos s/dom,Datos,Datos-fibra-telmex-inf,TV Cable,DISH,TVS,SKY,VETV,QTY Nom Neg,Line #,Nom Neg,,PRUEBA A/?-
1071,280,,,V,,,,,1,,,,,,,,0,,,,,,,,,,1,12,CONST.,,
1072,730,,,,,,,,,,,,,,,,0,,,,,,,,,,1,13,CONST.,,
1073,700,,,V,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,
1074,710,,,V,,,,,,1,,,,,,,0,,,,,,,,,,,,,,
1075,656,,,V,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,
1076,550,,,V,,,,,1,,,,,,,,0,,,,,,,,,,,,,,
1077,1065,,,V,,,,,1,,,,,,,,0,,,,,,,,,,,,,,
1078,595,,,V,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,
1079,585,,,V,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,
1080,575,,,V,,,,,1,,,,,,,,1,1,,,,,,,,,1,14,CONST.,,
1081,570,,,V,,,,,,1,,,,,,,0,,,,,,,,,,,,,,
1082,580,,,V,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,
1083,545,,,V,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,
1084,650,,,V,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,
1085,640,,,V,,,,,,1,,,,,,,3,1,,,,1,,,1,,,,,,
1086,S/N,BALDIO,2,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
1087,350,,,V,,,,,1,,,,,,,,0,,,,,,,,,,1,15,CONST.,,
1088,330,,,V,,,,,1,,,,,,,,0,,,,,,,,,,1,16,CONST.,,
1089,560,,,V,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,
1090,320,BALDIO,2,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
1091,275,,,V,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,
1092,695,,,V,,,,,1,,,,,,,,0,,,,,,,,,,,,,,
1093,285,,,V,,,,,,1,,,,,,,0,,,,,,,,,,,,,,
1094,685,,,V,,,,,1,,,,,,,,0,,,,,,,,,,,,,,
1095,295,,,V,,,,,,1,,,,,,,0,,,,,,,,,,,,,,
1096,675,,,V,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,
1097,305,,,V,,,,,,1,,,,,,,0,,,,,,,,,,,,,,
1098,655,,,V,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,
1099,315,,,V,,,,,,1,,,,,,,0,,,,,,,,,,,,,,
1100,655,,,V,,,,,1,,,,,,,,1,2,,,,,,,,,,,,,
1101,S/N,BALDIO,2,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
1102,325,BALDIO,2,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
1103,635,,,V,,,,,1,,,,,,,,2,1,,,,1,,,,,,,,,
1104,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,2,,,,,1,,,1,,1,2,POLLERIA,,
1105,1310,COMERCIAL,4,V,,,,,1,,,,1,,,,1,2,,,,,,,,,1,3,FARMACIA,,
1106,1045,ESCUELA,5,V,,,,,1,,,,,,,,0,,,,,,,,,,1,29,ESCUELA,,
1107,910,,,V,,,,,,1,,,,,,,2,,,,,2,,,,1,1,21,INTERNET,,
1108,900,,,V,,,,,1,,,,,,,,1,1,,,,,,,,,1,22,LLANTERA,,
1109,320,COMERCIAL,4,V,,,,,,,,,4,,,,0,,,,,,,,,,1,4,LAVANDERIA,,
1110,940,,,V,,,,1,,,,,,,,,0,,,,,,,,,,1,38,FERRETERIA,,
